timestamp,maquina_id,turno,pecas_produzidas,pecas_refugadas,consumo_kwh,status
2024-11-24 10:21:43.025417,1,Manhã,0,0,1.868,Parada/Manutencao
2024-11-24 10:21:43.025417,2,Manhã,0,0,3.347,Parada/Manutencao
2024-11-24 11:21:43.025417,1,Manhã,0,0,1.614,Parada/Manutencao
2024-11-24 11:21:43.025417,2,Manhã,0,0,3.317,Parada/Manutencao
2024-11-24 12:21:43.025417,1,Manhã,0,0,1.739,Parada/Manutencao
2024-11-24 12:21:43.025417,2,Manhã,0,0,2.959,Parada/Manutencao
2024-11-24 13:21:43.025417,1,Manhã,0,0,1.917,Parada/Manutencao
2024-11-24 13:21:43.025417,2,Manhã,0,0,3.038,Parada/Manutencao
2024-11-24 14:21:43.025417,1,Tarde,0,0,1.626,Parada/Manutencao
2024-11-24 14:21:43.025417,2,Tarde,0,0,3.056,Parada/Manutencao
2024-11-24 15:21:43.025417,1,Tarde,0,0,1.812,Parada/Manutencao
2024-11-24 15:21:43.025417,2,Tarde,0,0,2.981,Parada/Manutencao
2024-11-24 16:21:43.025417,1,Tarde,0,0,1.651,Parada/Manutencao
2024-11-24 16:21:43.025417,2,Tarde,0,0,2.823,Parada/Manutencao
2024-11-24 17:21:43.025417,1,Tarde,0,0,1.849,Parada/Manutencao
2024-11-24 17:21:43.025417,2,Tarde,0,0,3.309,Parada/Manutencao
2024-11-24 18:21:43.025417,1,Tarde,0,0,1.86,Parada/Manutencao
2024-11-24 18:21:43.025417,2,Tarde,0,0,2.99,Parada/Manutencao
2024-11-24 19:21:43.025417,1,Tarde,0,0,1.798,Parada/Manutencao
2024-11-24 19:21:43.025417,2,Tarde,0,0,3.283,Parada/Manutencao
2024-11-24 20:21:43.025417,1,Tarde,0,0,1.909,Parada/Manutencao
2024-11-24 20:21:43.025417,2,Tarde,0,0,2.864,Parada/Manutencao
2024-11-24 21:21:43.025417,1,Tarde,0,0,1.615,Parada/Manutencao
2024-11-24 21:21:43.025417,2,Tarde,0,0,3.147,Parada/Manutencao
2024-11-24 22:21:43.025417,1,Noite,0,0,1.967,Parada/Manutencao
2024-11-24 22:21:43.025417,2,Noite,0,0,3.257,Parada/Manutencao
2024-11-24 23:21:43.025417,1,Noite,0,0,1.759,Parada/Manutencao
2024-11-24 23:21:43.025417,2,Noite,0,0,3.086,Parada/Manutencao
2024-11-25 00:21:43.025417,1,Noite,1037,22,14.378,Operando
2024-11-25 00:21:43.025417,2,Noite,808,27,13.128,Operando
2024-11-25 01:21:43.025417,1,Noite,1110,26,15.502,Operando
2024-11-25 01:21:43.025417,2,Noite,0,0,3.033,Parada/Manutencao
2024-11-25 02:21:43.025417,1,Noite,1039,16,14.876,Operando
2024-11-25 02:21:43.025417,2,Noite,900,20,14.566,Operando
2024-11-25 03:21:43.025417,1,Noite,1077,19,14.865,Operando
2024-11-25 03:21:43.025417,2,Noite,892,28,14.692,Operando
2024-11-25 04:21:43.025417,1,Noite,1085,20,14.677,Operando
2024-11-25 04:21:43.025417,2,Noite,929,38,14.596,Operando
2024-11-25 05:21:43.025417,1,Noite,1057,18,14.523,Operando
2024-11-25 05:21:43.025417,2,Noite,907,40,14.107,Operando
2024-11-25 06:21:43.025417,1,Manhã,1161,15,15.989,Operando
2024-11-25 06:21:43.025417,2,Manhã,941,29,14.487,Operando
2024-11-25 07:21:43.025417,1,Manhã,1240,4,16.605,Operando
2024-11-25 07:21:43.025417,2,Manhã,971,42,15.408,Operando
2024-11-25 08:21:43.025417,1,Manhã,1167,4,15.88,Operando
2024-11-25 08:21:43.025417,2,Manhã,934,26,14.54,Operando
2024-11-25 09:21:43.025417,1,Manhã,1165,22,16.528,Operando
2024-11-25 09:21:43.025417,2,Manhã,918,36,14.922,Operando
2024-11-25 10:21:43.025417,1,Manhã,1137,5,16.195,Operando
2024-11-25 10:21:43.025417,2,Manhã,900,23,14.19,Operando
2024-11-25 11:21:43.025417,1,Manhã,1133,30,15.401,Operando
2024-11-25 11:21:43.025417,2,Manhã,1010,34,15.999,Operando
2024-11-25 12:21:43.025417,1,Manhã,1221,30,16.26,Operando
2024-11-25 12:21:43.025417,2,Manhã,1053,21,15.884,Operando
2024-11-25 13:21:43.025417,1,Manhã,1216,7,16.501,Operando
2024-11-25 13:21:43.025417,2,Manhã,1049,24,15.699,Operando
2024-11-25 14:21:43.025417,1,Tarde,1172,34,15.548,Operando
2024-11-25 14:21:43.025417,2,Tarde,978,20,14.978,Operando
2024-11-25 15:21:43.025417,1,Tarde,1134,15,15.953,Operando
2024-11-25 15:21:43.025417,2,Tarde,909,28,14.077,Operando
2024-11-25 16:21:43.025417,1,Tarde,1159,29,16.58,Operando
2024-11-25 16:21:43.025417,2,Tarde,946,45,14.329,Operando
2024-11-25 17:21:43.025417,1,Tarde,1131,33,15.016,Operando
2024-11-25 17:21:43.025417,2,Tarde,1023,29,15.8,Operando
2024-11-25 18:21:43.025417,1,Tarde,1128,19,15.287,Operando
2024-11-25 18:21:43.025417,2,Tarde,1014,27,15.863,Operando
2024-11-25 19:21:43.025417,1,Tarde,1148,4,16.347,Operando
2024-11-25 19:21:43.025417,2,Tarde,1002,24,15.062,Operando
2024-11-25 20:21:43.025417,1,Tarde,1143,28,15.908,Operando
2024-11-25 20:21:43.025417,2,Tarde,1064,50,16.559,Operando
2024-11-25 21:21:43.025417,1,Tarde,1190,5,15.609,Operando
2024-11-25 21:21:43.025417,2,Tarde,904,19,14.819,Operando
2024-11-25 22:21:43.025417,1,Noite,1025,25,14.111,Operando
2024-11-25 22:21:43.025417,2,Noite,0,0,3.148,Parada/Manutencao
2024-11-25 23:21:43.025417,1,Noite,1085,4,14.875,Operando
2024-11-25 23:21:43.025417,2,Noite,877,26,13.591,Operando
2024-11-26 00:21:43.025417,1,Noite,1045,29,15.051,Operando
2024-11-26 00:21:43.025417,2,Noite,824,39,13.551,Operando
2024-11-26 01:21:43.025417,1,Noite,1057,6,14.773,Operando
2024-11-26 01:21:43.025417,2,Noite,935,19,15.11,Operando
2024-11-26 02:21:43.025417,1,Noite,1102,16,14.745,Operando
2024-11-26 02:21:43.025417,2,Noite,938,20,14.685,Operando
2024-11-26 03:21:43.025417,1,Noite,1094,26,15.006,Operando
2024-11-26 03:21:43.025417,2,Noite,815,31,13.738,Operando
2024-11-26 04:21:43.025417,1,Noite,1025,26,14.248,Operando
2024-11-26 04:21:43.025417,2,Noite,921,42,14.649,Operando
2024-11-26 05:21:43.025417,1,Noite,1079,27,15.223,Operando
2024-11-26 05:21:43.025417,2,Noite,936,29,14.645,Operando
2024-11-26 06:21:43.025417,1,Manhã,1226,24,16.331,Operando
2024-11-26 06:21:43.025417,2,Manhã,1056,32,15.549,Operando
2024-11-26 07:21:43.025417,1,Manhã,1188,4,16.703,Operando
2024-11-26 07:21:43.025417,2,Manhã,1021,47,15.793,Operando
2024-11-26 08:21:43.025417,1,Manhã,1164,9,15.893,Operando
2024-11-26 08:21:43.025417,2,Manhã,923,22,14.251,Operando
2024-11-26 09:21:43.025417,1,Manhã,1223,27,17.075,Operando
2024-11-26 09:21:43.025417,2,Manhã,952,26,14.517,Operando
2024-11-26 10:21:43.025417,1,Manhã,1207,35,16.315,Operando
2024-11-26 10:21:43.025417,2,Manhã,996,25,14.984,Operando
2024-11-26 11:21:43.025417,1,Manhã,1145,17,16.209,Operando
2024-11-26 11:21:43.025417,2,Manhã,932,21,14.992,Operando
2024-11-26 12:21:43.025417,1,Manhã,1199,10,17.007,Operando
2024-11-26 12:21:43.025417,2,Manhã,1008,50,15.432,Operando
2024-11-26 13:21:43.025417,1,Manhã,1133,25,16.088,Operando
2024-11-26 13:21:43.025417,2,Manhã,977,48,15.02,Operando
2024-11-26 14:21:43.025417,1,Tarde,1193,24,16.85,Operando
2024-11-26 14:21:43.025417,2,Tarde,1005,32,15.547,Operando
2024-11-26 15:21:43.025417,1,Tarde,1193,16,16.943,Operando
2024-11-26 15:21:43.025417,2,Tarde,1021,50,16.049,Operando
2024-11-26 16:21:43.025417,1,Tarde,1210,18,15.815,Operando
2024-11-26 16:21:43.025417,2,Tarde,926,43,15.031,Operando
